Network name,Tree name,Country code,Source group,Source,ST,ST,CC,CC_CC
8728565_Human_30_30,8728565_Human_30_30,GBR,Human,Human,30,ST30,30,CC30
8987246_Cow_2012_1,8987246_Cow_2012_1,GBR,Bovid,Cow,2012,ST2012,1,CC1
8987284_Human_5_5,8987284_Human_5_5,GBR,Human,Human,5,ST5,5,CC5
8987289_Cow_22_22,8987289_Cow_22_22,GBR,Bovid,Cow,22,ST22,22,CC22
9061815_Human_1709_398,9061815_Human_1709_398,GBR,Human,Human,1709,ST1709,398,CC398
9061823_Human_9_9,9061823_Human_9_9,GBR,Human,Human,9,ST9,9,CC9
9061831_Human_1232_398,9061831_Human_1232_398,GBR,Human,Human,1232,ST1232,398,CC398
9061868_Horse_1_1,9061868_Horse_1_1,GBR,Equine,Horse,1,ST1,1,CC1
9061870_Dog_34_30,9061870_Dog_34_30,GBR,Carnivore,Dog,34,ST34,30,CC30
9061871_Horse_8_8,9061871_Horse_8_8,GBR,Equine,Horse,8,ST8,8,CC8
9061875_Horse_36_30,9061875_Horse_36_30,GBR,Equine,Horse,36,ST36,30,CC30
9061877_Horse_816_522,9061877_Horse_816_522,GBR,Equine,Horse,816,ST816,522,CC522
9061879_Horse_350_350,9061879_Horse_350_350,GBR,Equine,Horse,350,ST350,350,CC350
9061880_Horse_1_1,9061880_Horse_1_1,GBR,Equine,Horse,1,ST1,1,CC1
9119223_Cow_133_133,9119223_Cow_133_133,GBR,Bovid,Cow,133,ST133,133,CC133
9119238_Cow_1073_1073,9119238_Cow_1073_1073,GBR,Bovid,Cow,1073,ST1073,1073,CC1073
9119251_Cow_352_97,9119251_Cow_352_97,GBR,Bovid,Cow,352,ST352,97,CC97
9119266_Cow_425_425,9119266_Cow_425_425,GBR,Bovid,Cow,425,ST425,425,CC425
9119271_Cow_1247_133,9119271_Cow_1247_133,GBR,Bovid,Cow,1247,ST1247,133,CC133
9119280_Cow_1859_97,9119280_Cow_1859_97,GBR,Bovid,Cow,1859,ST1859,97,CC97
9472238_Human_2361_1943,9472238_Human_2361_1943,SWE,Human,Human,2361,ST2361,1943,CC1943
9472246_Cow_45_45,9472246_Cow_45_45,GBR,Bovid,Cow,45,ST45,45,CC45
9472252_Sheep_521_521,9472252_Sheep_521_521,ITA,Bovid,Sheep,521,ST521,521,CC521
9472263_Goat_425_425,9472263_Goat_425_425,ITA,Bovid,Goat,425,ST425,425,CC425
9472264_Goat_522_522,9472264_Goat_522_522,ITA,Bovid,Goat,522,ST522,522,CC522
9472266_Human_890_890,9472266_Human_890_890,FRA,Human,Human,890,ST890,890,CC890
9472267_Human_121_121,9472267_Human_121_121,FRA,Human,Human,121,ST121,121,CC121
9472283_Cow_243_30,9472283_Cow_243_30,GBR,Bovid,Cow,243,ST243,30,CC30
9472284_Cow_254_8,9472284_Cow_254_8,GBR,Bovid,Cow,254,ST254,8,CC8
9472285_Cow_5_5,9472285_Cow_5_5,GBR,Bovid,Cow,5,ST5,5,CC5
9472286_Cow_30_30,9472286_Cow_30_30,GBR,Bovid,Cow,30,ST30,30,CC30
9472287_Cow_39_30,9472287_Cow_39_30,GBR,Bovid,Cow,39,ST39,30,CC30
9472290_NA_707_707,9472290_NA_707_707,USA,Human,Human,707,ST707,707,CC707
9716391_Human_8_8,9716391_Human_8_8,GBR,Human,Human,8,ST8,8,CC8
9716458_NA_2616_2616,9716458_Human_2616_2616,DEU ,Human,Human,2616,ST2616,2616,CC2616
9716493_Cat_737_22,9716493_Cat_737_22,DEU,Carnivore,Cat,737,ST737,22,CC22
973N0001_Cow_354_NA,973N0001_Cow_354_NA,USA,Bovid,Cow,354,ST354,na,CCna
973N0002_Horse_8_8,973N0002_Horse_8_8,CHE,Equine,Horse,8,ST8,8,CC8
973N0003_Cow_1_1,973N0003_Cow_1_1,NOR,Bovid,Cow,1,ST1,1,CC1
973N0004_Cow_483_130,973N0004_Cow_483_130,NOR,Bovid,Cow,483,ST483,130,CC130
973N0005_Mara_2502_15,973N0005_Mara_130_130,DNK,Rodent,Mara,130,ST130,130,CC130
973N0006_GuineaPig_15_15,973N0006_GuineaPig_15_15,DNK,Rodent,GuineaPig,15,ST15,15,CC15
973N0007_Cow_25_25,973N0007_Cow_25_25,USA,Bovid,Cow,25,ST25,25,CC25
973N0008_Cow_350_350,973N0008_Cow_350_350,USA,Bovid,Cow,350,ST350,350,CC350
973N0009_Goat_133_133,973N0009_Goat_133_133,NOR,Bovid,Goat,133,ST133,133,CC133
973N0010_Sheep_133_133,973N0010_Sheep_133_133,NOR,Bovid,Sheep,133,ST133,133,CC133
973N0011_Rabbit_1_1,973N0011_Rabbit_1_1,BEL,Lagomorphs,Rabbit,1,ST1,1,CC1
973N0012_Goat_480_130,973N0012_Goat_480_130,NOR,Bovid,Goat,480,ST480,130,CC130
973N0013_Pig_49_49,973N0013_Pig_49_49,CHE,Porcine,Pig,49,ST49,49,CC49
973N0014_Horse_1_1,973N0014_Horse_1_1,CHE,Equine,Horse,1,ST1,1,CC1
973N0015_Horse_1660_1660,973N0015_Horse_1660_1660,CHE,Equine,Horse,1660,ST1660,1660,CC1660
973N0016_Cow_30_30,973N0016_Cow_30_30,USA,Bovid,Cow,30,ST30,30,CC30
973N0017_Cow_1_1,973N0017_Cow_1_1,USA,Bovid,Cow,1,ST1,1,CC1
973N0018_Pig_49_49,973N0018_Pig_49_49,CHE,Porcine,Pig,49,ST49,49,CC49
973N0019_Cow_709_97,973N0019_Cow_709_97,ARG,Bovid,Cow,709,ST709,97,CC97
973N0020_Goat_71_97,973N0020_Goat_71_97,AUT,Bovid,Goat,71,ST71,97,CC97
973N0021_Sheep_71_97,973N0021_Sheep_71_97,DNK,Bovid,Sheep,71,ST71,97,CC97
973N0022_Cow_706_9,973N0022_Cow_706_9,DNK,Bovid,Cow,706,ST706,9,CC9
973N0023_Goat_39_30,973N0023_Goat_39_30,ITA,Bovid,Goat,39,ST39,30,CC30
973N0024_Goat_126_97,973N0024_Goat_126_NA,ITA,Bovid,Goat,126,ST126,na,CCna
973N0025_Goat_25_25,973N0025_Goat_25_25,ITA,Bovid,Goat,25,ST25,25,CC25
973N0026_Rabbit_8_8,973N0026_Rabbit_8_8,BEL,Lagomorphs,Rabbit,8,ST8,8,CC8
973N0027_Goat_101_101,973N0027_Goat_101_101,ITA,Bovid,Goat,101,ST101,101,CC101
973N0028_Goat_22_22,973N0028_Goat_22_22,ITA,Bovid,Goat,22,ST22,22,CC22
973N0029_Goat_522_522,973N0029_Goat_522_522,AUT,Bovid,Goat,522,ST522,522,CC522
973N0030_Rabbit_407_8,973N0030_Rabbit_407_8,ESP,Lagomorphs,Rabbit,407,ST407,8,CC8
973N0031_Cow_20_20,973N0031_Cow_20_20,ESP,Bovid,Cow,20,ST20,20,CC20
973N0032_Rabbit_96_96,973N0032_Rabbit_96_96,BEL,Lagomorphs,Rabbit,96,ST96,96,CC96
973N0033_Mongoose_15_15,973N0033_Mongoose_15_15,DNK,Carnivore,Mongoose,15,ST15,15,CC15
973N0034_Horse_15_15,973N0034_Horse_15_15,DNK,Equine,Horse,15,ST15,15,CC15
973N0035_Chimpanzee_188_15,973N0035_Chimpanzee_188_15,DNK,Monkey,Chimpanzee,188,ST188,15,CC15
973N0036_Bat_15_15,973N0036_Bat_15_15,DNK,Bat,Bat,15,ST15,15,CC15
973N0037_Chicken_8_8,973N0037_Chicken_8_8,GBR,Aves,Chicken,8,ST8,8,CC8
973N0040_Porpoise_133_133,973N0040_Porpoise_133_133,GBR,Marine,Porpoise,133,ST133,133,CC133
973N0041_Cat_151_151,973N0041_Cat_151_151,SWE,Carnivore,Cat,151,ST151,151,CC151
973N0042_Porpoise_630_8,973N0042_Porpoise_630_8,NLD,Marine,Porpoise,630,ST630,8,CC8
973N0043_Porpoise_1766_1762,973N0043_Porpoise_1766_1762,GBR,Marine,Porpoise,1766,ST1766,1762,CC1762
973N0044_Pig_398_398,973N0044_Pig_398_398,CHE,Porcine,Pig,398,ST398,398,CC398
973N0045_Horse_1_1,973N0045_Horse_1_1,CHE,Equine,Horse,1,ST1,1,CC1
973N0046_Cow_30_30,973N0046_Cow_30_30,USA,Bovid,Cow,30,ST30,30,CC30
973N0048_Goat_712_133,973N0048_Goat_712_133,FRA,Bovid,Goat,712,ST712,133,CC133
973N0049_WildBird_45_45,973N0049_WildBird_45_45,GBR,Aves,WildBird,45,ST45,45,CC45
973N0050_Pheasant_15_15,973N0050_Pheasant_15_15,GBR,Aves,Pheasant,15,ST15,15,CC15
973N0052_WildBird_2049_1962,973N0052_WildBird_2049_1962,GBR,Aves,WildBird,2049,ST2049,1962,CC1962
973N0053_Cow_115_97,973N0053_Cow_115_97,USA,Bovid,Cow,115,ST115,97,CC97
973N0054_Goat_711_133,973N0054_Goat_711_133,FRA,Bovid,Goat,711,ST711,133,CC133
973N0056_Grouse_692_385,973N0056_Grouse_692_385,GBR,Aves,Grouse,692,ST692,385,CC385
973N0057_Cow_118_97,973N0057_Cow_118_97,USA,Bovid,Cow,118,ST118,97,CC97
973N0058_Cow_351_151,973N0058_Cow_351_151,USA,Bovid,Cow,351,ST351,151,CC151
973N0059_Seal_2501_1,973N0059_Seal_130_130,GBR,Marine,Seal,130,ST130,130,CC130
973N0061_Cow_356_356,973N0061_Cow_356_356,CHL,Bovid,Cow,356,ST356,356,CC356
973N0062_Cow_151_151,973N0062_Cow_151_151,GBR,Bovid,Cow,151,ST151,151,CC151
973N0063_Monkey_1006_601,973N0063_Monkey_1006_601,GBR,Monkey,Monkey,1006,ST1006,601,CC601
973N0064_Cow_130_130,973N0064_Cow_130_130,NOR,Bovid,Cow,130,ST130,130,CC130
973N0065_Meerkat_1_1,973N0065_Meerkat_1_1,GBR,Carnivore,Meerkat,1,ST1,1,CC1
973N0066_Cow_1_1,973N0066_Cow_1_1,NOR,Bovid,Cow,1,ST1,1,CC1
973N0068_Cow_151_151,973N0068_Cow_151_151,IRL,Bovid,Cow,151,ST151,151,CC151
973N0070_Cow_135_5,973N0070_Cow_135_5,NOR,Bovid,Cow,135,ST135,5,CC5
973N0071_Horse_45_45,973N0071_Horse_45_45,DNK,Equine,Horse,45,ST45,45,CC45
973N0072_Mongoose_1_1,973N0072_Mongoose_1_1,DNK,Carnivore,Mongoose,1,ST1,1,CC1
973N0073_Parrot_25_25,973N0073_Parrot_25_25,USA,Aves,Parrot,25,ST25,25,CC25
973N0074_GreatTit_425_425,973N0074_GreatTit_425_425,GBR,Aves,Great Tit,425,ST425,425,CC425
973N0075_Cow_349_347,973N0075_Cow_349_347,USA,Bovid,Cow,349,ST349,347,CC347
973N0076_Cow_151_151,973N0076_Cow_151_151,GBR,Bovid,Cow,151,ST151,151,CC151
973N0078_Cow_2503_2503,973N0078_Cow_479_479,NOR,Bovid,Cow,479,ST479,479,CC479
973N0080_Sheep_151_151,973N0080_Sheep_151_151,SWE,Bovid,Sheep,705,ST705,151,CC151
973N0081_Goat_6_6,973N0081_Goat_6_6,DNK,Bovid,Goat,6,ST6,6,CC6
973N0082_Cow_151_151,973N0082_Cow_151_151,IRL,Bovid,Cow,151,ST151,151,CC151
973N0083_Cow_151_151,973N0083_Cow_151_151,IRL,Bovid,Cow,151,ST151,151,CC151
973N0084_Cow_9_9,973N0084_Cow_9_9,IRL,Bovid,Cow,9,ST9,9,CC9
973N0085_Cow_479_479,973N0085_Cow_479_479,NOR,Bovid,Cow,479,ST479,479,CC479
973N0086_Cow_520_479,973N0086_Cow_520_479,NOR,Bovid,Cow,520,ST520,479,CC479
973N0087_Cloudrat_1776_6,973N0087_Cloudrat_1776_6,GBR,Rodent,Cloudrat,1776,ST1776,6,CC6
973N0088_Cow_45_45,973N0088_Cow_45_45,USA,Bovid,Cow,45,ST45,45,CC45
973N0089_Cow_25_25,973N0089_Cow_25_25,USA,Bovid,Cow,25,ST25,25,CC25
973N0090_Cow_50_50,973N0090_Cow_50_50,USA,Bovid,Cow,50,ST50,50,CC50
973N0091_Chicken_5_5,973N0091_Chicken_5_5,BEL,Aves,Chicken,5,ST5,5,CC5
973N0092_Cow_122_45,973N0092_Cow_122_45,USA,Bovid,Cow,122,ST122,45,CC45
973N0093_Cow_45_45,973N0093_Cow_45_45,USA,Bovid,Cow,45,ST45,45,CC45
AB106_Pig_97_97,AB106_Pig_97_97,ITA,Porcine,Pig,97,ST97,97,CC97
Bmb9393_Human_239_8,Bmb9393_Human_239_8,BRA,Human,Human,239,ST239,8,CC8
CA347_Human_45_45,CA347_Human_45_45,USA,Human,Human,45,ST45,45,CC45
CHILE5_Cow_97_97,CHILE5_Cow_97_97,CHL,Bovid,Cow,97,ST97,97,CC97
CN1_Human_72_72,CN1_Human_72_72,KOR,Human,Human,72,ST72,72,CC72
COL_Human_250_250,COL_Human_250_250,GBR,Human,Human,250,ST250,8,CC8
CTH54_Cow_97_97,CTH54_Cow_97_97,USA,Bovid,Cow,97,ST97,97,CC97
ECTR2_Human_5_5,ECTR2_Human_5_5,SWE,Human,Human,5,ST5,5,CC5
ED133_Sheep_133_133,ED133_Sheep_133_133,FRA,Bovid,Sheep,133,ST133,133,CC133
ED98_Chicken_5_5,ED98_Chicken_5_5,IRL,Aves,Chicken,5,ST5,5,CC5
FL5_Human_97_97,FL5_Human_97_97,TUR,Human,Human,97,ST97,97,CC97
HAR24_Human_36_30,HAR24_Human_36_30,GBR,Human,,36,ST36,30,CC30
HO50960412,HO50960412_Human_22_22,GBR,Human,Human,22,ST22,22,CC22
JH1_Human_105_5,JH1_Human_105_5,USA,Human,Human,105,ST105,5,CC5
JH9_Human_105_5,JH9_Human_105_5,USA,Human,Human,105,ST105,5,CC5
JKD6008_Human_239_8,JKD6008_Human_239_8,NZL,Human,Human,239,ST239,8,CC8
JKD6159_Human_93_93,JKD6159_Human_93_93,AUS,Human,Human,93,ST93,93,CC93
JL3177B_Human_97_97,JL3177B_Human_97_97,GBR,Human,Human,97,ST97,97,CC97
KRN563B_Human_97_97,KRN563B_Human_97_97,BRA,Human,Human,97,ST97,97,CC97
LGA251_Cow_425_425,LGA251_Cow_425_425,GBR,Bovid,Cow,425,ST425,425,CC425
LMA1166B_Cow_97_97,LMA1166B_Cow_97_97,FRA,Bovid,Cow,97,ST97,97,CC97
M013_Human_59_59,M013_Human_59_59,TWN,Human,Human,59,ST59,59,CC59
MRSA252_Human_36_30,MRSA252_Human_36_30,GBR,Human,Human,36,ST36,30,CC30
MS14_Human_97_97,MS14_Human_97_97,TUR,Human,Human,97,ST97,97,CC97
MSHR1132_Human_1850_75,MSHR1132_Human_1850_75,AUS,Human,Human,1850,ST1850,75,CC75
MSSA476_Human_1_1,MSSA476_Human_1_1,GBR,Human,Human,1,ST1,1,CC1
Mu3_Human_5_5,Mu3_Human_5_5,JPN,Human,Human,5,ST5,5,CC5
Mu50_Human_5_5,Mu50_Human_5_5,JPN,Human,Human,5,ST5,5,CC5
MW2_Human_1_1,MW2_Human_1_1,USA,Human,Human,1,ST1,1,CC1
N315_Human_5_5,N315_Human_5_5,JPN,Human,Human,5,ST5,5,CC5
NCTC8325_Human_8_8,NCTC8325_Human_8_8,DEU,Human,Human,8,ST8,8,CC8
Newman_Human_254_8,Newman_Human_254_8,na,Human,Human,254,ST254,8,CC8
RC7_Cow_97_97,RC7_Cow_97_97,ESP,Bovid,Cow,97,ST97,97,CC97
RF122_Cow_151_151,RF122_Cow_151_151,IRL,Bovid,Cow,151,ST151,151,CC151
RM1_Human_97_97,RM1_Human_97_97,GBR,Human,Human,97,ST97,97,CC97
SA40_Human_59_59,SA40_Human_59_59,TWN,Human,Human,59,ST59,59,CC59
SA957_Human_59_59,SA957_Human_59_59,TWN,Human,Human,59,ST59,59,CC59
SRR445028_Pigdust_398_398,SRR445028_Pigdust_398_398,POL,Porcine,Pig (dust),398,ST398,398,CC398
SRR445034_Pig_398_398,SRR445034_Pig_398_398,USA,Porcine,Pig,398,ST398,398,CC398
SRR445035_Pig_398_398,SRR445035_Pig_398_398,USA,Porcine,Pig,398,ST398,398,CC398
SRR445039_Human_398_398,SRR445039_Human_398_398,CHN,Human,Human,398,ST398,398,CC398
SRR445042_Human_398_398,SRR445042_Human_398_398,CHN,Human,Human,398,ST398,398,CC398
SRR445057_Human_398_398,SRR445057_Human_398_398,DNK,Human,Human,398,ST398,398,CC398
SRR445060_Pigdust_398_398,SRR445060_Pigdust_398_398,FRA,Porcine,Pig (dust),398,ST398,398,CC398
SRR445073_Human_398_398,SRR445073_Human_398_398,DNK,Human,Human,398,ST398,398,CC398
SRR445075_Human_398_398,SRR445075_Human_398_398,DNK,Human,Human,398,ST398,398,CC398
SRR445077_Human_398_398,SRR445077_Human_398_398,GUF,Human,Human,398,ST398,398,CC398
SRR445080_Human_398_398,SRR445080_Human_398_398,FRA,Human,Human,398,ST398,398,CC398
SRR445230_Pigdust_398_398,SRR445230_Pigdust_398_398,ESP,Porcine,Pig (dust),398,ST398,398,CC398
SRR445236_Pigdust_398_398,SRR445236_Pigdust_398_398,DNK,Porcine,Pig (dust),398,ST398,398,CC398
SRR445237_Pigdust_398_398,SRR445237_Pigdust_398_398,DNK,Porcine,Pig (dust),398,ST398,398,CC398
SRR445238_Human_398_398,SRR445238_Human_398_398,USA,Human,Human,398,ST398,398,CC398
SRR445239_Pigdust_398_398,SRR445239_Pigdust_398_398,ITA,Porcine,Pig (dust),398,ST398,398,CC398
SRR445265_Pig_398_398,SRR445265_Pig_398_398,USA,Porcine,Pig,398,ST398,398,CC398
SRR445266_Pig_398_398,SRR445266_Pig_398_398,USA,Porcine,Pig,398,ST398,398,CC398
SRR445267_Turkey_398_398,SRR445267_Turkey_398_398,USA,Aves,Turkey,398,ST398,398,CC398
SRR445269_Turkey_398_398,SRR445269_Turkey_398_398,USA,Aves,Turkey,398,ST398,398,CC398
SRR445271_Turkey_398_398,SRR445271_Turkey_398_398,USA,Aves,Turkey,398,ST398,398,CC398
SRR445276_Pigdust_398_398,SRR445276_Pigdust_398_398,FIN,Porcine,Pig (dust),398,ST398,398,CC398
SRR445279_Horse_398_398,SRR445279_Horse_398_398,BEL,Equine,Horse,398,ST398,398,CC398
SRR445281_Pig_398_398,SRR445281_Pig_398_398,DNK,Porcine,Pig,398,ST398,398,CC398
SRR445286_Pigdust_398_398,SRR445286_Pigdust_398_398,SVN,Porcine,Pig (dust),398,ST398,398,CC398
SRR445291_Pigdust_398_398,SRR445291_Pigdust_398_398,BEL,Porcine,Pig (dust),398,ST398,398,CC398
SRR445292_Cow_398_398,SRR445292_Cow_398_398,BEL,Bovid,Cow,398,ST398,398,CC398
ST398_Human_398_398,ST398_Human_398_398,USA,Human,Human,398,ST398,398,CC398
T0131_Human_239_8,T0131_Human_239_8,CHN,Human,Human,239,ST239,8,CC8
TCH60_Human_30_30,TCH60_Human_30_30,USA,Human,Human,30,ST30,30,CC30
TW20_Human_239_8,TW20_Human_239_8,GBR,Human,Human,239,ST239,8,CC8
USA300FPR3757_Human_8_8,USA300FPR3757_Human_8_8,USA,Human,Human,8,ST8,8,CC8
USA300TCH1516_Human_8_8,USA300TCH1516_Human_8_8,USA,Human,Human,8,ST8,8,CC8
VC40_Human_8_NA,VC40_Human_8_8,DEU,Human,Human,8,ST8,8,CC8
Z172_Human_239_8,Z172_Human_239_8,TWN,Human,Human,239,ST239,8,CC8
