Network name,Tree name,Country code,Source group,Source,ST,ST,CC,CC_CC
434056_Human_101_101,434056_Human_101_101,BGR,Human,Human,101,ST101,101,CC101
434058_Human_88_88,434058_Human_88_88,BGR,Human,Human,88,ST88,88,CC88
434059_Human_1829_30,434059_Human_1829_30,BGR,Human,Human,1829,ST1829,30,CC30
434061_Human_45_45,434061_Human_45_45,BEL,Human,Human,45,ST45,45,CC45
4340611_Human_72_72,4340611_Human_72_8888,BGR,Human,Human,72,ST72,72,CC72
4340612_Human_5_5,4340612_Human_5_5,BGR,Human,Human,5,ST5,5,CC5
434062_Human_8_8,434062_Human_8_8,BEL,Human,Human,8,ST8,8,CC8
434063_Human_239_8,434063_Human_239_8,BGR,Human,Human,239,ST239,8,CC8
434064_Human_239_8,434064_Human_239_8,BGR,Human,Human,239,ST239,8,CC8
434066_Human_8_8,434066_Human_8_8,BEL,Human,Human,8,ST8,8,CC8
434067_Human_5_5,434067_Human_5_5,BEL,Human,Human,5,ST5,5,CC5
434068_Human_25_25,434068_Human_25_25,BEL,Human,Human,25,ST25,25,CC25
434069_Human_22_22,434069_Human_22_22,BEL,Human,Human,22,ST22,22,CC22
435011_Human_225_5,435011_Human_225_5,CZE,Human,Human,225,ST225,5,CC5
4350110_Human_225_5,4350110_Human_225_5,CZE,Human,Human,225,ST225,5,CC5
4350111_Human_15_15,4350111_Human_15_15,CZE,Human,Human,15,ST15,15,CC15
4350112_Human_5_5,4350112_Human_5_5,CZE,Human,Human,5,ST5,5,CC5
435012_Human_225_5,435012_Human_225_5,CZE,Human,Human,225,ST225,5,CC5
435013_Human_398_398,435013_Human_398_398,CZE,Human,Human,398,ST398,398,CC398
435014_Human_45_45,435014_Human_45_45,CZE,Human,Human,45,ST45,45,CC45
435015_Human_225_5,435015_Human_225_5,CZE,Human,Human,225,ST225,5,CC5
435016_Human_45_45,435016_Human_45_45,CZE,Human,Human,45,ST45,45,CC45
435017_Human_NA_45,435017_Human_NA_45,CZE,Human,Human,na,STna,45,CC45
435018_Human_225_5,435018_Human_225_5,CZE,Human,Human,225,ST225,5,CC5
435019_Human_8_8,435019_Human_8_8,CZE,Human,Human,8,ST8,8,CC8
435021_Human_101_101,435021_Human_101_101,CZE,Human,Human,101,ST101,101,CC101
4350210_Human_15_15,4350210_Human_15_15,DNK,Human,Human,15,ST15,15,CC15
4350211_Human_5_5,4350211_Human_5_5,DNK,Human,Human,5,ST5,5,CC5
435022_Human_NA_30,435022_Human_30_30,CZE,Human,Human,30,ST30,30,CC30
435023_Human_30_30,435023_Human_30_30,DNK,Human,Human,30,ST30,30,CC30
435024_Human_15_15,435024_Human_15_15,DNK,Human,Human,15,ST15,15,CC15
435025_Human_20_20,435025_Human_20_20,CZE,Human,Human,20,ST20,20,CC20
435026_Human_8_8,435026_Human_8_8,CZE,Human,Human,8,ST8,8,CC8
435027_Human_225_5,435027_Human_225_5,CZE,Human,Human,225,ST225,5,CC5
435028_Human_25_25,435028_Human_25_25,CZE,Human,Human,25,ST25,25,CC25
435029_Human_101_101,435029_Human_101_101,DNK,Human,Human,101,ST101,101,CC101
435075_Human_15_15,435075_Human_15_15,SVN,Human,Human,15,ST15,15,CC15
435076_Human_7_7,435076_Human_7_7,SVN,Human,Human,7,ST7,7,CC7
438611_Human_111_5,438611_Human_111_5,HRV,Human,Human,111,ST111,5,CC5
4386110_Human_111_5,4386110_Human_111_5,HRV,Human,Human,111,ST111,5,CC5
4386111_Human_45_45,4386111_Human_45_45,HRV,Human,Human,45,ST45,45,CC45
4386112_Human_111_5,4386112_Human_111_5,HRV,Human,Human,111,ST111,5,CC5
438612_Human_45_45,438612_Human_45_45,HRV,Human,Human,45,ST45,45,CC45
438613_Human_45_45,438613_Human_45_45,CYP,Human,Human,45,ST45,45,CC45
438614_Human_39_30,438614_Human_39_30,CYP,Human,Human,39,ST39,30,CC30
438615_Human_45_45,438615_Human_45_45,HRV,Human,Human,45,ST45,45,CC45
438616_Human_8_8,438616_Human_8_8,HRV,Human,Human,8,ST8,8,CC8
438617_Human_NA_5,438617_Human_NA_5,HRV,Human,Human,na,STna,5,CC5
438618_Human_NA_15,438618_Human_NA_15,HRV,Human,Human,na,STna,15,CC15
438619_Human_111_5,438619_Human_111_5,HRV,Human,Human,111,ST111,5,CC5
438621_Human_45_45,438621_Human_45_45,DNK,Human,Human,45,ST45,45,CC45
4386210_Human_NA_NA,4386210_Human_NA_NA,na,Human,Human,na,STna,na,CCna
4386211_Human_8_8,4386211_Human_8_8,DNK,Human,Human,8,ST8,8,CC8
4386212_Human_30_30,4386212_Human_30_30,DNK,Human,Human,30,ST30,30,CC30
438622_Human_22_22,438622_Human_22_22,DNK,Human,Human,22,ST22,22,CC22
438623_Human_20_20,438623_Human_20_20,DNK,Human,Human,20,ST20,20,CC20
438625_Human_30_30,438625_Human_30_30,DNK,Human,Human,30,ST30,30,CC30
438626_Human_NA_45,438626_Human_NA_45,DNK,Human,Human,na,STna,45,CC45
438628_Human_NA_30,438628_Human_30_30,DNK,Human,Human,30,ST30,30,CC30
438629_Human_1_1,438629_Human_1_1,DNK,Human,Human,1,ST1,1,CC1
438651_Human_5_5,438651_Human_5_5,FRA,Human,Human,5,ST5,5,CC5
4386510_Human_5_5,4386510_Human_5_5,FRA,Human,Human,5,ST5,5,CC5
4386512_Human_NA_8,4386512_Human_NA_8,FRA,Human,Human,na,STna,8,CC8
438652_Human_81_1,438652_Human_81_1,FRA,Human,Human,81,ST81,1,CC1
